id_tiempo,fecha_completa,año,mes,nombre_mes,trimestre,dia,dia_semana,es_fin_semana
20220622,2022-06-22,2022,6,June,2,22,Wednesday,0
20220627,2022-06-27,2022,6,June,2,27,Monday,0
20220628,2022-06-28,2022,6,June,2,28,Tuesday,0
20220629,2022-06-29,2022,6,June,2,29,Wednesday,0
20220702,2022-07-02,2022,7,July,3,2,Saturday,1
20220705,2022-07-05,2022,7,July,3,5,Tuesday,0
20220707,2022-07-07,2022,7,July,3,7,Thursday,0
20220715,2022-07-15,2022,7,July,3,15,Friday,0
20220725,2022-07-25,2022,7,July,3,25,Monday,0
20220731,2022-07-31,2022,7,July,3,31,Sunday,1
20220805,2022-08-05,2022,8,August,3,5,Friday,0
20220815,2022-08-15,2022,8,August,3,15,Monday,0
20220823,2022-08-23,2022,8,August,3,23,Tuesday,0
20220824,2022-08-24,2022,8,August,3,24,Wednesday,0
20220901,2022-09-01,2022,9,September,3,1,Thursday,0
20220906,2022-09-06,2022,9,September,3,6,Tuesday,0
20220907,2022-09-07,2022,9,September,3,7,Wednesday,0
20220909,2022-09-09,2022,9,September,3,9,Friday,0
20220910,2022-09-10,2022,9,September,3,10,Saturday,1
20220911,2022-09-11,2022,9,September,3,11,Sunday,1
20220912,2022-09-12,2022,9,September,3,12,Monday,0
20220913,2022-09-13,2022,9,September,3,13,Tuesday,0
20220918,2022-09-18,2022,9,September,3,18,Sunday,1
20220920,2022-09-20,2022,9,September,3,20,Tuesday,0
20220929,2022-09-29,2022,9,September,3,29,Thursday,0
20221001,2022-10-01,2022,10,October,4,1,Saturday,1
20221002,2022-10-02,2022,10,October,4,2,Sunday,1
20221006,2022-10-06,2022,10,October,4,6,Thursday,0
20221014,2022-10-14,2022,10,October,4,14,Friday,0
20221017,2022-10-17,2022,10,October,4,17,Monday,0
20221024,2022-10-24,2022,10,October,4,24,Monday,0
20221030,2022-10-30,2022,10,October,4,30,Sunday,1
20221102,2022-11-02,2022,11,November,4,2,Wednesday,0
20221106,2022-11-06,2022,11,November,4,6,Sunday,1
20221108,2022-11-08,2022,11,November,4,8,Tuesday,0
20221109,2022-11-09,2022,11,November,4,9,Wednesday,0
20221110,2022-11-10,2022,11,November,4,10,Thursday,0
20221111,2022-11-11,2022,11,November,4,11,Friday,0
20221123,2022-11-23,2022,11,November,4,23,Wednesday,0
20221124,2022-11-24,2022,11,November,4,24,Thursday,0
20221211,2022-12-11,2022,12,December,4,11,Sunday,1
20221214,2022-12-14,2022,12,December,4,14,Wednesday,0
20221216,2022-12-16,2022,12,December,4,16,Friday,0
20221218,2022-12-18,2022,12,December,4,18,Sunday,1
20221220,2022-12-20,2022,12,December,4,20,Tuesday,0
20230101,2023-01-01,2023,1,January,1,1,Sunday,1
20230104,2023-01-04,2023,1,January,1,4,Wednesday,0
20230105,2023-01-05,2023,1,January,1,5,Thursday,0
20230112,2023-01-12,2023,1,January,1,12,Thursday,0
20230113,2023-01-13,2023,1,January,1,13,Friday,0
20230204,2023-02-04,2023,2,February,1,4,Saturday,1
20230216,2023-02-16,2023,2,February,1,16,Thursday,0
20230217,2023-02-17,2023,2,February,1,17,Friday,0
20230219,2023-02-19,2023,2,February,1,19,Sunday,1
20230220,2023-02-20,2023,2,February,1,20,Monday,0
20230301,2023-03-01,2023,3,March,1,1,Wednesday,0
20230304,2023-03-04,2023,3,March,1,4,Saturday,1
20230307,2023-03-07,2023,3,March,1,7,Tuesday,0
20230312,2023-03-12,2023,3,March,1,12,Sunday,1
20230319,2023-03-19,2023,3,March,1,19,Sunday,1
20230323,2023-03-23,2023,3,March,1,23,Thursday,0
20230324,2023-03-24,2023,3,March,1,24,Friday,0
20230328,2023-03-28,2023,3,March,1,28,Tuesday,0
20230329,2023-03-29,2023,3,March,1,29,Wednesday,0
20230408,2023-04-08,2023,4,April,2,8,Saturday,1
20230410,2023-04-10,2023,4,April,2,10,Monday,0
20230414,2023-04-14,2023,4,April,2,14,Friday,0
20230419,2023-04-19,2023,4,April,2,19,Wednesday,0
20230428,2023-04-28,2023,4,April,2,28,Friday,0
20230501,2023-05-01,2023,5,May,2,1,Monday,0
20230509,2023-05-09,2023,5,May,2,9,Tuesday,0
20230513,2023-05-13,2023,5,May,2,13,Saturday,1
20230514,2023-05-14,2023,5,May,2,14,Sunday,1
20230515,2023-05-15,2023,5,May,2,15,Monday,0
20230517,2023-05-17,2023,5,May,2,17,Wednesday,0
20230519,2023-05-19,2023,5,May,2,19,Friday,0
20230520,2023-05-20,2023,5,May,2,20,Saturday,1
20230521,2023-05-21,2023,5,May,2,21,Sunday,1
20230523,2023-05-23,2023,5,May,2,23,Tuesday,0
20230524,2023-05-24,2023,5,May,2,24,Wednesday,0
20230525,2023-05-25,2023,5,May,2,25,Thursday,0
20230530,2023-05-30,2023,5,May,2,30,Tuesday,0
20230602,2023-06-02,2023,6,June,2,2,Friday,0
20230604,2023-06-04,2023,6,June,2,4,Sunday,1
20230606,2023-06-06,2023,6,June,2,6,Tuesday,0
20230611,2023-06-11,2023,6,June,2,11,Sunday,1
20230616,2023-06-16,2023,6,June,2,16,Friday,0
20230620,2023-06-20,2023,6,June,2,20,Tuesday,0
20230627,2023-06-27,2023,6,June,2,27,Tuesday,0
20230702,2023-07-02,2023,7,July,3,2,Sunday,1
20230705,2023-07-05,2023,7,July,3,5,Wednesday,0
20230710,2023-07-10,2023,7,July,3,10,Monday,0
20230711,2023-07-11,2023,7,July,3,11,Tuesday,0
20230714,2023-07-14,2023,7,July,3,14,Friday,0
20230716,2023-07-16,2023,7,July,3,16,Sunday,1
20230721,2023-07-21,2023,7,July,3,21,Friday,0
20230722,2023-07-22,2023,7,July,3,22,Saturday,1
20230723,2023-07-23,2023,7,July,3,23,Sunday,1
20230724,2023-07-24,2023,7,July,3,24,Monday,0
20230728,2023-07-28,2023,7,July,3,28,Friday,0
20230730,2023-07-30,2023,7,July,3,30,Sunday,1
20230805,2023-08-05,2023,8,August,3,5,Saturday,1
20230807,2023-08-07,2023,8,August,3,7,Monday,0
20230813,2023-08-13,2023,8,August,3,13,Sunday,1
20230822,2023-08-22,2023,8,August,3,22,Tuesday,0
20230823,2023-08-23,2023,8,August,3,23,Wednesday,0
20230906,2023-09-06,2023,9,September,3,6,Wednesday,0
20230908,2023-09-08,2023,9,September,3,8,Friday,0
20230926,2023-09-26,2023,9,September,3,26,Tuesday,0
20230927,2023-09-27,2023,9,September,3,27,Wednesday,0
20230930,2023-09-30,2023,9,September,3,30,Saturday,1
20231004,2023-10-04,2023,10,October,4,4,Wednesday,0
20231009,2023-10-09,2023,10,October,4,9,Monday,0
20231025,2023-10-25,2023,10,October,4,25,Wednesday,0
20231031,2023-10-31,2023,10,October,4,31,Tuesday,0
20231102,2023-11-02,2023,11,November,4,2,Thursday,0
20231103,2023-11-03,2023,11,November,4,3,Friday,0
20231104,2023-11-04,2023,11,November,4,4,Saturday,1
20231114,2023-11-14,2023,11,November,4,14,Tuesday,0
20231118,2023-11-18,2023,11,November,4,18,Saturday,1
20231128,2023-11-28,2023,11,November,4,28,Tuesday,0
20231129,2023-11-29,2023,11,November,4,29,Wednesday,0
20231130,2023-11-30,2023,11,November,4,30,Thursday,0
20231201,2023-12-01,2023,12,December,4,1,Friday,0
20231206,2023-12-06,2023,12,December,4,6,Wednesday,0
20231216,2023-12-16,2023,12,December,4,16,Saturday,1
20231230,2023-12-30,2023,12,December,4,30,Saturday,1
20240103,2024-01-03,2024,1,January,1,3,Wednesday,0
20240105,2024-01-05,2024,1,January,1,5,Friday,0
20240107,2024-01-07,2024,1,January,1,7,Sunday,1
20240108,2024-01-08,2024,1,January,1,8,Monday,0
20240111,2024-01-11,2024,1,January,1,11,Thursday,0
20240113,2024-01-13,2024,1,January,1,13,Saturday,1
20240114,2024-01-14,2024,1,January,1,14,Sunday,1
20240124,2024-01-24,2024,1,January,1,24,Wednesday,0
20240129,2024-01-29,2024,1,January,1,29,Monday,0
20240206,2024-02-06,2024,2,February,1,6,Tuesday,0
20240216,2024-02-16,2024,2,February,1,16,Friday,0
20240218,2024-02-18,2024,2,February,1,18,Sunday,1
20240220,2024-02-20,2024,2,February,1,20,Tuesday,0
20240222,2024-02-22,2024,2,February,1,22,Thursday,0
20240303,2024-03-03,2024,3,March,1,3,Sunday,1
20240306,2024-03-06,2024,3,March,1,6,Wednesday,0
20240313,2024-03-13,2024,3,March,1,13,Wednesday,0
20240324,2024-03-24,2024,3,March,1,24,Sunday,1
20240325,2024-03-25,2024,3,March,1,25,Monday,0
20240327,2024-03-27,2024,3,March,1,27,Wednesday,0
20240328,2024-03-28,2024,3,March,1,28,Thursday,0
20240331,2024-03-31,2024,3,March,1,31,Sunday,1
20240402,2024-04-02,2024,4,April,2,2,Tuesday,0
20240407,2024-04-07,2024,4,April,2,7,Sunday,1
20240410,2024-04-10,2024,4,April,2,10,Wednesday,0
20240420,2024-04-20,2024,4,April,2,20,Saturday,1
20240422,2024-04-22,2024,4,April,2,22,Monday,0
20240427,2024-04-27,2024,4,April,2,27,Saturday,1
20240502,2024-05-02,2024,5,May,2,2,Thursday,0
20240510,2024-05-10,2024,5,May,2,10,Friday,0
20240514,2024-05-14,2024,5,May,2,14,Tuesday,0
20240516,2024-05-16,2024,5,May,2,16,Thursday,0
20240519,2024-05-19,2024,5,May,2,19,Sunday,1
20240528,2024-05-28,2024,5,May,2,28,Tuesday,0
20240602,2024-06-02,2024,6,June,2,2,Sunday,1
20240604,2024-06-04,2024,6,June,2,4,Tuesday,0
20240610,2024-06-10,2024,6,June,2,10,Monday,0
20240618,2024-06-18,2024,6,June,2,18,Tuesday,0
20240623,2024-06-23,2024,6,June,2,23,Sunday,1
20240701,2024-07-01,2024,7,July,3,1,Monday,0
20240703,2024-07-03,2024,7,July,3,3,Wednesday,0
20240704,2024-07-04,2024,7,July,3,4,Thursday,0
20240707,2024-07-07,2024,7,July,3,7,Sunday,1
20240717,2024-07-17,2024,7,July,3,17,Wednesday,0
20240727,2024-07-27,2024,7,July,3,27,Saturday,1
20240730,2024-07-30,2024,7,July,3,30,Tuesday,0
20240801,2024-08-01,2024,8,August,3,1,Thursday,0
20240814,2024-08-14,2024,8,August,3,14,Wednesday,0
20240816,2024-08-16,2024,8,August,3,16,Friday,0
20240825,2024-08-25,2024,8,August,3,25,Sunday,1
20240829,2024-08-29,2024,8,August,3,29,Thursday,0
20240902,2024-09-02,2024,9,September,3,2,Monday,0
20240906,2024-09-06,2024,9,September,3,6,Friday,0
20240907,2024-09-07,2024,9,September,3,7,Saturday,1
20240908,2024-09-08,2024,9,September,3,8,Sunday,1
20240910,2024-09-10,2024,9,September,3,10,Tuesday,0
20240914,2024-09-14,2024,9,September,3,14,Saturday,1
20240915,2024-09-15,2024,9,September,3,15,Sunday,1
20240920,2024-09-20,2024,9,September,3,20,Friday,0
20241004,2024-10-04,2024,10,October,4,4,Friday,0
20241006,2024-10-06,2024,10,October,4,6,Sunday,1
20241009,2024-10-09,2024,10,October,4,9,Wednesday,0
20241012,2024-10-12,2024,10,October,4,12,Saturday,1
20241020,2024-10-20,2024,10,October,4,20,Sunday,1
20241027,2024-10-27,2024,10,October,4,27,Sunday,1
20241101,2024-11-01,2024,11,November,4,1,Friday,0
20241105,2024-11-05,2024,11,November,4,5,Tuesday,0
20241108,2024-11-08,2024,11,November,4,8,Friday,0
20241111,2024-11-11,2024,11,November,4,11,Monday,0
20241114,2024-11-14,2024,11,November,4,14,Thursday,0
20241115,2024-11-15,2024,11,November,4,15,Friday,0
20241117,2024-11-17,2024,11,November,4,17,Sunday,1
20241123,2024-11-23,2024,11,November,4,23,Saturday,1
20241129,2024-11-29,2024,11,November,4,29,Friday,0
20241203,2024-12-03,2024,12,December,4,3,Tuesday,0
20241223,2024-12-23,2024,12,December,4,23,Monday,0
20241226,2024-12-26,2024,12,December,4,26,Thursday,0
20241230,2024-12-30,2024,12,December,4,30,Monday,0
