id_mantenimiento,id_tiempo,id_cliente,id_vehiculo,id_sucursal,id_tipo_mantenimiento,costo_servicio,costo_repuestos,costo_total,repuestos_usados,horas_taller,kilometraje_vehiculo
26,20240304.0,98,791,8,8,2662.0,1000.0,3662.0,13.0,10.0,
27,,100,1018,1,11,1000.0,1000.0,2000.0,0.0,8.0,
28,,103,883,4,8,2291.0,1000.0,3291.0,11.0,8.0,53727.0
29,,108,1019,6,3,1000.0,,1000.0,12.0,14.0,
30,,109,1018,7,9,1000.0,1000.0,2000.0,2.0,14.0,77950.0
31,,110,980,7,2,1188.0,1000.0,2188.0,6.0,15.0,149330.0
32,,113,974,3,9,1203.0,1000.0,2203.0,15.0,12.0,68086.0
33,,117,894,7,5,1178.0,,1178.0,13.0,4.0,117261.0
34,,119,983,4,3,,1000.0,1000.0,14.0,11.0,104867.0
35,,122,943,6,11,1000.0,1000.0,2000.0,12.0,1.0,68338.0
36,,124,894,10,11,2526.0,1000.0,3526.0,0.0,4.0,105229.0
37,,125,1022,9,5,2557.0,1000.0,3557.0,2.0,5.0,36850.0
38,,127,942,1,12,1000.0,1000.0,2000.0,4.0,13.0,102834.0
39,,133,898,12,9,2031.0,1000.0,3031.0,11.0,2.0,50981.0
40,,136,951,12,9,2207.0,1000.0,3207.0,2.0,4.0,98337.0
41,20221228.0,138,915,12,12,2589.0,1000.0,3589.0,9.0,6.0,25096.0
42,,144,986,7,7,1427.0,1000.0,2427.0,12.0,,84158.0
43,,151,996,10,4,,1000.0,1000.0,0.0,7.0,84752.0
44,20200306.0,152,1021,12,3,1000.0,1000.0,2000.0,0.0,6.0,52068.0
45,,154,926,7,8,2697.0,,2697.0,3.0,9.0,99496.0
46,,156,1021,5,2,1782.0,1000.0,2782.0,9.0,2.0,60383.0
47,,157,1012,8,11,1119.0,1000.0,2119.0,0.0,12.0,7732.0
48,,166,906,4,2,1017.0,1000.0,2017.0,1.0,16.0,5688.0
49,20211212.0,167,910,1,11,1000.0,1000.0,2000.0,1.0,16.0,134325.0
50,,168,951,1,11,1141.0,1000.0,2141.0,7.0,6.0,64455.0
51,,169,1024,2,3,2360.0,,2360.0,0.0,3.0,21628.0
52,,170,951,6,5,1441.0,1000.0,2441.0,7.0,15.0,69663.0
53,,176,883,10,8,1000.0,1000.0,2000.0,0.0,11.0,82033.0
54,,177,1010,8,12,1000.0,1000.0,2000.0,2.0,4.0,130602.0
55,20230420.0,178,769,9,1,1000.0,1000.0,2000.0,4.0,11.0,149497.0
56,,180,964,10,6,1000.0,,1000.0,1.0,13.0,
57,,181,996,11,2,1545.0,1000.0,2545.0,0.0,13.0,
58,,184,948,7,11,2001.0,1000.0,3001.0,6.0,1.0,138116.0
59,,185,978,8,10,2261.0,1000.0,3261.0,10.0,8.0,122912.0
60,,187,906,10,2,1570.0,1000.0,2570.0,4.0,8.0,105044.0
61,,190,769,10,10,1004.0,,1004.0,0.0,6.0,143598.0
62,,2245,932,12,4,1000.0,1000.0,2000.0,1.0,7.0,145122.0
63,,193,1000,10,10,1000.0,1000.0,2000.0,13.0,1.0,73946.0
64,,194,910,10,3,2107.0,1000.0,3107.0,10.0,13.0,146265.0
65,20240112.0,196,959,12,4,1000.0,,1000.0,12.0,1.0,61042.0
66,20211015.0,197,1016,10,2,1027.0,1000.0,2027.0,1.0,6.0,55900.0
67,,199,926,9,1,2805.0,1000.0,3805.0,6.0,13.0,
68,,200,945,1,10,1000.0,1000.0,2000.0,2.0,10.0,124277.0
69,,203,990,7,9,,,0.0,8.0,5.0,17767.0
70,,204,905,9,6,1685.0,1000.0,2685.0,6.0,15.0,
71,,208,950,12,1,1570.0,1000.0,2570.0,2.0,13.0,103992.0
72,,209,950,10,11,2557.0,1000.0,3557.0,0.0,12.0,145468.0
73,,215,959,3,9,1715.0,,1715.0,3.0,14.0,146359.0
74,,199,951,4,8,1000.0,,1000.0,4.0,9.0,
75,,217,973,4,12,1000.0,,1000.0,9.0,11.0,143825.0
76,,218,825,9,1,2717.0,1000.0,3717.0,8.0,13.0,40946.0
77,,222,1021,6,10,1428.0,1000.0,2428.0,13.0,11.0,100908.0
78,,225,954,11,1,2053.0,1000.0,3053.0,14.0,14.0,63936.0
79,,226,994,1,3,,1000.0,1000.0,1.0,,54955.0
80,,228,982,11,7,1720.0,1000.0,2720.0,15.0,9.0,1842.0
81,,230,1016,2,8,1707.0,,1707.0,0.0,5.0,109568.0
82,,236,932,8,2,2726.0,1000.0,3726.0,4.0,16.0,73594.0
83,,240,1021,11,9,1142.0,1000.0,2142.0,2.0,4.0,84932.0
84,,242,898,1,11,1960.0,1000.0,2960.0,14.0,6.0,149583.0
85,,244,994,7,10,2748.0,,2748.0,7.0,3.0,25660.0
86,20230711.0,249,972,12,2,2340.0,1000.0,3340.0,11.0,12.0,62832.0
87,,254,846,11,8,1410.0,,1410.0,12.0,3.0,76995.0
88,20230924.0,259,926,3,4,2439.0,1000.0,3439.0,1.0,9.0,88841.0
89,,260,978,11,5,2181.0,1000.0,3181.0,2.0,,121191.0
90,,261,926,12,6,1000.0,,1000.0,5.0,9.0,120176.0
91,20230530.0,262,1008,7,7,2384.0,1000.0,3384.0,6.0,16.0,104103.0
92,,264,883,9,4,1000.0,,1000.0,15.0,15.0,79383.0
93,,267,980,11,3,1943.0,,1943.0,0.0,16.0,56500.0
94,,268,910,6,7,1089.0,1000.0,2089.0,15.0,14.0,96642.0
95,,269,986,3,3,2582.0,,2582.0,12.0,,58216.0
96,,279,906,8,9,1693.0,,1693.0,0.0,9.0,
97,20240930.0,284,1021,7,8,1000.0,1000.0,2000.0,8.0,16.0,
98,,2433,1022,2,11,1658.0,1000.0,2658.0,5.0,14.0,73157.0
99,20230616.0,1381,983,9,3,1000.0,,1000.0,15.0,6.0,
100,,293,1017,7,3,2596.0,1000.0,3596.0,2.0,4.0,
101,,297,1006,6,12,1000.0,,1000.0,5.0,2.0,106290.0
102,,298,970,4,5,2192.0,1000.0,3192.0,7.0,1.0,96505.0
103,,302,1011,5,11,2152.0,,2152.0,7.0,14.0,
104,,303,1019,1,8,1000.0,1000.0,2000.0,1.0,4.0,
105,,304,1017,9,5,2802.0,1000.0,3802.0,3.0,16.0,97773.0
106,20240501.0,305,981,10,11,2552.0,1000.0,3552.0,0.0,11.0,67148.0
107,,308,1004,1,5,2705.0,1000.0,3705.0,5.0,14.0,70292.0
108,,310,980,10,8,2189.0,1000.0,3189.0,8.0,16.0,
109,20220828.0,311,1011,1,12,1000.0,1000.0,2000.0,14.0,4.0,96523.0
110,,314,951,10,3,2957.0,1000.0,3957.0,4.0,1.0,78856.0
111,,315,998,12,2,1000.0,1000.0,2000.0,2.0,,69287.0
112,,319,989,3,3,1159.0,1000.0,2159.0,10.0,14.0,112912.0
113,,320,951,4,1,1000.0,1000.0,2000.0,0.0,9.0,61154.0
114,,322,989,9,9,1000.0,1000.0,2000.0,10.0,6.0,83744.0
115,,324,934,11,3,1000.0,,1000.0,0.0,5.0,128582.0
116,,325,910,5,8,1096.0,1000.0,2096.0,13.0,5.0,
117,,326,971,1,4,1000.0,1000.0,2000.0,4.0,12.0,127762.0
118,,328,976,7,12,2391.0,1000.0,3391.0,15.0,4.0,96241.0
119,,330,1013,10,7,,1000.0,1000.0,13.0,1.0,120330.0
120,,331,670,5,4,2758.0,1000.0,3758.0,4.0,7.0,124786.0
121,,339,993,9,1,1578.0,,1578.0,7.0,5.0,89193.0
122,,341,959,4,9,1270.0,1000.0,2270.0,0.0,11.0,44038.0
123,20240206.0,344,921,10,4,1000.0,1000.0,2000.0,1.0,2.0,149907.0
124,,345,1004,10,3,2550.0,,2550.0,5.0,3.0,54832.0
125,,346,825,4,8,2843.0,,2843.0,6.0,8.0,57700.0
126,,347,1014,6,8,1000.0,1000.0,2000.0,9.0,2.0,
127,20230602.0,348,1023,4,2,1000.0,,1000.0,0.0,15.0,89114.0
128,20200302.0,351,601,4,3,1416.0,1000.0,2416.0,10.0,11.0,69774.0
129,,353,1000,5,12,2437.0,1000.0,3437.0,1.0,12.0,51098.0
130,,354,1023,1,11,2115.0,1000.0,3115.0,11.0,16.0,128252.0
131,,357,910,7,1,1440.0,1000.0,2440.0,6.0,14.0,70736.0
132,20240518.0,364,862,8,3,2494.0,1000.0,3494.0,1.0,11.0,47645.0
133,20211009.0,366,862,2,11,1776.0,1000.0,2776.0,8.0,,29078.0
134,,367,1000,7,6,1653.0,1000.0,2653.0,8.0,5.0,4214.0
135,20240515.0,370,954,9,5,1000.0,1000.0,2000.0,3.0,,74630.0
136,,373,1024,1,8,,,0.0,3.0,4.0,72762.0
137,,377,862,12,3,1000.0,1000.0,2000.0,5.0,15.0,99909.0
138,,383,994,3,3,1684.0,1000.0,2684.0,11.0,16.0,100807.0
139,,386,894,4,5,2826.0,1000.0,3826.0,11.0,,71397.0
140,,387,910,6,5,1618.0,1000.0,2618.0,0.0,,9748.0
141,,388,1021,6,4,1638.0,1000.0,2638.0,10.0,16.0,47982.0
142,,394,1002,3,10,,1000.0,1000.0,0.0,10.0,120775.0
143,20240425.0,397,990,6,10,1000.0,1000.0,2000.0,13.0,11.0,136862.0
144,,401,914,11,2,,1000.0,1000.0,7.0,14.0,
145,,402,791,4,4,1910.0,1000.0,2910.0,1.0,10.0,89487.0
146,,409,1019,6,5,1000.0,1000.0,2000.0,4.0,11.0,143557.0
147,,410,915,5,8,1643.0,,1643.0,13.0,9.0,
148,,428,1005,6,9,1000.0,,1000.0,11.0,16.0,
149,,430,1002,9,7,1193.0,1000.0,2193.0,0.0,14.0,51550.0
150,,431,1017,2,6,2387.0,,2387.0,0.0,14.0,31413.0
151,,433,1004,3,3,1409.0,,1409.0,10.0,6.0,148794.0
152,,434,1011,10,1,2190.0,1000.0,3190.0,4.0,3.0,92958.0
153,,444,932,10,5,,,0.0,6.0,16.0,106167.0
154,,445,932,5,4,1000.0,,1000.0,6.0,8.0,58117.0
155,,447,972,12,1,2535.0,1000.0,3535.0,14.0,11.0,7164.0
156,,448,670,2,7,2708.0,,2708.0,11.0,16.0,
157,,2644,867,6,3,1338.0,1000.0,2338.0,11.0,15.0,44789.0
158,,463,1014,12,2,2759.0,,2759.0,0.0,10.0,122313.0
159,,466,867,7,7,,1000.0,1000.0,14.0,3.0,70803.0
160,,467,1016,1,11,1000.0,1000.0,2000.0,0.0,5.0,19785.0
161,,1345,921,4,6,1000.0,1000.0,2000.0,4.0,,145045.0
162,,474,846,8,1,1705.0,1000.0,2705.0,7.0,15.0,124069.0
163,,479,959,8,3,1000.0,1000.0,2000.0,5.0,,61401.0
164,,482,980,1,10,2084.0,1000.0,3084.0,3.0,15.0,72537.0
165,,485,846,10,1,1000.0,1000.0,2000.0,3.0,8.0,
166,,487,910,8,9,1000.0,,1000.0,0.0,15.0,23164.0
167,,489,915,2,2,1156.0,1000.0,2156.0,14.0,13.0,136017.0
168,,499,998,7,8,1866.0,1000.0,2866.0,5.0,11.0,43685.0
169,,506,1016,3,12,2242.0,1000.0,3242.0,0.0,5.0,28826.0
170,,507,769,4,5,1003.0,1000.0,2003.0,0.0,16.0,19815.0
171,,510,1019,1,12,2406.0,1000.0,3406.0,7.0,15.0,146250.0
172,,512,948,5,1,1000.0,,1000.0,3.0,6.0,100894.0
173,,515,1009,11,3,2806.0,1000.0,3806.0,2.0,,92172.0
174,,518,601,6,2,1000.0,1000.0,2000.0,4.0,8.0,15791.0
175,,520,1008,9,6,1000.0,1000.0,2000.0,4.0,2.0,99062.0
176,20240917.0,521,1015,4,7,1000.0,1000.0,2000.0,9.0,11.0,37444.0
177,,523,1024,8,11,1000.0,1000.0,2000.0,15.0,5.0,77836.0
178,,524,1016,4,12,1108.0,,1108.0,13.0,9.0,3086.0
179,,525,1019,12,4,1000.0,,1000.0,8.0,14.0,
180,,526,980,7,6,1000.0,1000.0,2000.0,3.0,13.0,122495.0
181,,527,947,9,5,2806.0,1000.0,3806.0,9.0,6.0,96479.0
182,,530,867,8,5,1000.0,,1000.0,5.0,4.0,21113.0
183,,532,914,9,4,1001.0,,1001.0,6.0,7.0,126572.0
184,,536,994,2,9,1000.0,1000.0,2000.0,12.0,1.0,67218.0
185,,542,993,12,3,1850.0,1000.0,2850.0,10.0,5.0,
186,,543,932,2,7,1243.0,,1243.0,10.0,5.0,55900.0
187,,545,883,2,1,1040.0,1000.0,2040.0,14.0,,140556.0
188,,546,601,4,1,1759.0,1000.0,2759.0,14.0,,111492.0
189,,548,955,6,7,2178.0,1000.0,3178.0,8.0,,
190,,549,1002,10,4,2676.0,,2676.0,2.0,1.0,19940.0
191,,551,1022,8,3,1000.0,1000.0,2000.0,13.0,9.0,47774.0
192,,949,769,12,12,1747.0,1000.0,2747.0,8.0,13.0,47218.0
193,,555,993,1,9,1000.0,1000.0,2000.0,7.0,9.0,77767.0
194,,561,971,7,1,1794.0,,1794.0,4.0,,25586.0
195,20240828.0,565,973,12,10,2071.0,1000.0,3071.0,0.0,13.0,
196,,567,1022,9,4,,1000.0,1000.0,10.0,10.0,51752.0
197,,568,932,7,11,2722.0,1000.0,3722.0,2.0,8.0,112344.0
198,,569,964,10,11,2109.0,1000.0,3109.0,1.0,12.0,115889.0
199,20210103.0,573,1016,3,1,1565.0,1000.0,2565.0,2.0,9.0,129286.0
200,,576,1014,5,2,2425.0,1000.0,3425.0,9.0,7.0,81996.0
201,,577,945,1,8,2707.0,1000.0,3707.0,11.0,9.0,145818.0
202,,580,922,11,1,2353.0,1000.0,3353.0,0.0,9.0,37549.0
203,,588,986,5,4,1231.0,1000.0,2231.0,3.0,16.0,24507.0
204,,589,1022,6,4,1533.0,1000.0,2533.0,14.0,,982.0
205,,590,1009,12,6,,1000.0,1000.0,10.0,8.0,86740.0
206,,592,894,5,5,1054.0,1000.0,2054.0,8.0,4.0,115551.0
207,,593,1009,7,5,2467.0,,2467.0,11.0,13.0,84378.0
208,,596,955,12,7,2531.0,1000.0,3531.0,1.0,10.0,119575.0
209,,599,932,3,3,2624.0,1000.0,3624.0,9.0,,
210,,601,1011,9,10,1935.0,1000.0,2935.0,6.0,9.0,10398.0
211,,602,976,6,12,2396.0,1000.0,3396.0,14.0,15.0,83649.0
212,,603,791,7,10,1210.0,1000.0,2210.0,14.0,13.0,146655.0
213,,605,906,11,1,1000.0,1000.0,2000.0,5.0,4.0,41062.0
214,,610,996,9,10,1000.0,1000.0,2000.0,5.0,7.0,128817.0
215,,613,964,7,12,,1000.0,1000.0,0.0,6.0,44979.0
216,,614,1015,10,1,1748.0,1000.0,2748.0,11.0,11.0,
217,,619,1011,1,1,1000.0,1000.0,2000.0,2.0,,64279.0
218,,625,910,8,1,1000.0,1000.0,2000.0,9.0,6.0,87031.0
219,,626,885,6,10,1927.0,1000.0,2927.0,10.0,12.0,77668.0
220,,631,945,5,1,1055.0,1000.0,2055.0,8.0,7.0,69718.0
221,,636,1014,1,3,2943.0,,2943.0,2.0,14.0,46861.0
222,,638,947,12,2,2591.0,,2591.0,0.0,7.0,91048.0
223,,642,942,7,9,1575.0,1000.0,2575.0,13.0,4.0,
224,,643,910,7,2,1000.0,1000.0,2000.0,0.0,10.0,13271.0
225,,645,921,6,11,2075.0,,2075.0,6.0,3.0,
226,,646,914,10,5,1735.0,,1735.0,3.0,7.0,
227,,650,1012,4,3,,1000.0,1000.0,8.0,12.0,36965.0
228,,652,980,7,1,2957.0,1000.0,3957.0,14.0,16.0,66110.0
229,,654,1002,10,4,2966.0,1000.0,3966.0,13.0,10.0,47301.0
230,,656,947,5,7,,,0.0,0.0,11.0,62331.0
231,,659,1022,12,6,1083.0,1000.0,2083.0,12.0,12.0,117971.0
232,,660,1014,6,8,1048.0,,1048.0,13.0,8.0,44234.0
233,,661,1007,2,5,,1000.0,1000.0,3.0,,19507.0
234,,666,964,4,4,2181.0,1000.0,3181.0,12.0,5.0,1430.0
235,20240508.0,667,959,3,7,2206.0,,2206.0,8.0,4.0,117698.0
236,,669,932,1,11,2323.0,1000.0,3323.0,0.0,15.0,88178.0
237,20220120.0,670,964,6,9,1662.0,1000.0,2662.0,15.0,14.0,46279.0
238,20231104.0,671,1002,7,6,1144.0,,1144.0,15.0,11.0,58282.0
239,,673,867,9,2,2718.0,,2718.0,14.0,12.0,
240,,679,825,6,9,1350.0,1000.0,2350.0,0.0,12.0,42217.0
241,,684,951,9,3,2875.0,1000.0,3875.0,3.0,7.0,
242,,692,1024,8,3,1773.0,1000.0,2773.0,12.0,6.0,93743.0
243,,693,922,9,9,2307.0,1000.0,3307.0,0.0,15.0,145057.0
244,,694,825,5,8,2571.0,,2571.0,13.0,13.0,24233.0
245,,695,791,8,4,1362.0,1000.0,2362.0,10.0,14.0,127983.0
246,,696,978,6,4,1599.0,1000.0,2599.0,15.0,,
247,20240220.0,700,1015,2,5,1571.0,1000.0,2571.0,9.0,15.0,45017.0
248,20200524.0,43,914,8,10,2410.0,,2410.0,10.0,3.0,74697.0
249,,718,971,3,12,1000.0,1000.0,2000.0,0.0,,
250,,399,955,9,9,2116.0,1000.0,3116.0,1.0,4.0,15067.0
251,,721,998,4,10,1000.0,,1000.0,9.0,9.0,97870.0
252,,623,922,7,2,1000.0,1000.0,2000.0,0.0,1.0,132881.0
253,,722,945,11,6,2021.0,1000.0,3021.0,6.0,,76169.0
254,,726,1000,5,7,1863.0,1000.0,2863.0,0.0,3.0,20339.0
255,20230605.0,727,1023,8,9,1366.0,1000.0,2366.0,3.0,11.0,115584.0
256,,734,883,2,8,1000.0,,1000.0,4.0,8.0,
257,,735,980,11,12,1000.0,,1000.0,3.0,2.0,34659.0
258,20220628.0,736,975,9,12,1534.0,1000.0,2534.0,10.0,9.0,7963.0
259,20201021.0,748,989,6,8,1045.0,1000.0,2045.0,3.0,15.0,87029.0
260,20200920.0,753,1023,3,9,2974.0,,2974.0,10.0,1.0,80199.0
261,,754,915,6,5,1000.0,1000.0,2000.0,9.0,,12240.0
262,,756,982,5,6,1000.0,1000.0,2000.0,9.0,9.0,23520.0
263,,761,926,12,9,2128.0,,2128.0,0.0,2.0,123330.0
264,,768,1002,8,4,1527.0,1000.0,2527.0,0.0,,136411.0
265,,769,601,8,4,2448.0,1000.0,3448.0,12.0,,108299.0
266,,781,846,1,1,1000.0,1000.0,2000.0,0.0,,
267,,783,971,5,7,1971.0,,1971.0,1.0,13.0,54084.0
268,,785,980,4,11,1603.0,1000.0,2603.0,11.0,10.0,82329.0
269,,787,1006,1,9,2961.0,1000.0,3961.0,0.0,1.0,99014.0
270,20230619.0,789,1002,2,11,2127.0,1000.0,3127.0,3.0,2.0,59930.0
271,,790,1007,5,10,1804.0,1000.0,2804.0,0.0,10.0,
272,20230406.0,795,1019,1,9,2682.0,1000.0,3682.0,9.0,,
273,20240814.0,800,769,2,8,,1000.0,1000.0,13.0,9.0,79621.0
274,,801,942,3,12,1000.0,1000.0,2000.0,7.0,13.0,107579.0
275,,194,915,12,12,1000.0,1000.0,2000.0,9.0,10.0,70647.0
276,,804,905,2,9,1000.0,1000.0,2000.0,9.0,3.0,11564.0
277,,809,981,8,12,2308.0,1000.0,3308.0,0.0,4.0,90306.0
278,,810,1018,9,3,1900.0,,1900.0,12.0,15.0,114398.0
279,,812,1023,5,4,1995.0,1000.0,2995.0,0.0,3.0,77222.0
280,,814,972,12,5,2238.0,,2238.0,9.0,,124214.0
281,20210409.0,816,998,1,6,1510.0,1000.0,2510.0,0.0,16.0,
282,,818,993,4,9,1000.0,1000.0,2000.0,1.0,14.0,137503.0
283,,820,945,2,6,1000.0,1000.0,2000.0,14.0,15.0,73265.0
284,,821,947,12,6,2711.0,,2711.0,7.0,1.0,143165.0
285,,822,979,8,4,1880.0,1000.0,2880.0,6.0,1.0,4422.0
286,,823,1000,4,8,1816.0,,1816.0,11.0,16.0,97013.0
287,,829,852,8,7,2350.0,1000.0,3350.0,0.0,2.0,146419.0
288,20201031.0,830,934,2,8,,,0.0,6.0,7.0,95943.0
289,,833,885,6,11,1000.0,1000.0,2000.0,15.0,5.0,141364.0
290,,199,1023,9,6,1336.0,1000.0,2336.0,15.0,2.0,76518.0
291,,836,1023,9,10,1767.0,1000.0,2767.0,8.0,8.0,132834.0
292,,845,934,12,12,1888.0,1000.0,2888.0,14.0,16.0,27581.0
293,,846,894,10,2,1095.0,1000.0,2095.0,0.0,8.0,
294,,853,970,12,12,1000.0,1000.0,2000.0,11.0,7.0,37653.0
295,,859,862,8,11,1000.0,1000.0,2000.0,0.0,7.0,33142.0
296,20220208.0,861,898,11,10,,,0.0,10.0,10.0,
297,,868,998,3,1,2097.0,,2097.0,4.0,2.0,78693.0
298,,870,906,7,2,2816.0,1000.0,3816.0,5.0,8.0,28732.0
299,,871,1011,1,2,1632.0,1000.0,2632.0,6.0,3.0,9369.0
300,,875,852,10,11,2444.0,,2444.0,0.0,1.0,
301,20220426.0,877,1021,9,5,,,0.0,0.0,10.0,142553.0
302,,881,1015,9,4,1000.0,1000.0,2000.0,3.0,6.0,
303,,885,852,1,8,2304.0,1000.0,3304.0,9.0,2.0,118613.0
304,,887,947,7,3,1350.0,1000.0,2350.0,9.0,12.0,82784.0
305,,893,934,4,11,1000.0,,1000.0,0.0,14.0,114722.0
306,,895,914,5,10,1187.0,1000.0,2187.0,2.0,5.0,9432.0
307,,897,922,5,8,2433.0,,2433.0,11.0,6.0,62446.0
308,20210109.0,904,1004,12,12,2489.0,1000.0,3489.0,14.0,10.0,94075.0
309,,905,982,6,9,2490.0,1000.0,3490.0,2.0,,75377.0
310,,906,998,9,10,2433.0,1000.0,3433.0,0.0,5.0,117856.0
311,,909,883,12,7,1000.0,1000.0,2000.0,5.0,2.0,
312,20210827.0,910,996,8,12,1000.0,,1000.0,10.0,,29655.0
313,20220401.0,911,951,11,10,1000.0,1000.0,2000.0,12.0,1.0,
314,,913,1007,3,1,,,0.0,5.0,,75016.0
315,,917,910,2,4,2328.0,1000.0,3328.0,3.0,16.0,113475.0
316,20231204.0,919,919,5,10,2213.0,1000.0,3213.0,1.0,14.0,49734.0
317,,920,973,4,1,1829.0,1000.0,2829.0,11.0,8.0,34613.0
318,20210907.0,922,791,4,10,1000.0,1000.0,2000.0,11.0,11.0,55145.0
319,,926,972,9,12,2075.0,1000.0,3075.0,14.0,15.0,98073.0
320,,928,994,10,10,1373.0,,1373.0,14.0,14.0,
321,,931,1024,7,2,1568.0,1000.0,2568.0,13.0,4.0,60475.0
322,,932,998,8,10,1890.0,1000.0,2890.0,7.0,2.0,49093.0
323,,933,948,9,9,1000.0,1000.0,2000.0,15.0,,33988.0
324,,938,994,7,8,2481.0,,2481.0,11.0,13.0,80653.0
325,20200301.0,90,989,3,5,1140.0,,1140.0,0.0,1.0,22912.0
326,,947,951,5,2,2104.0,1000.0,3104.0,14.0,8.0,15664.0
327,,505,1023,2,9,2066.0,,2066.0,0.0,9.0,15322.0
328,,953,921,4,9,,1000.0,1000.0,1.0,3.0,68368.0
329,,960,950,10,5,1644.0,1000.0,2644.0,1.0,16.0,123743.0
330,,964,1004,8,12,1000.0,1000.0,2000.0,9.0,8.0,
331,,967,954,4,8,2152.0,1000.0,3152.0,2.0,1.0,31987.0
332,20210531.0,971,951,2,5,1968.0,,1968.0,0.0,16.0,138687.0
333,,972,955,8,10,1000.0,1000.0,2000.0,0.0,3.0,47602.0
334,,977,973,12,12,,1000.0,1000.0,12.0,2.0,56188.0
335,,985,975,1,5,1820.0,1000.0,2820.0,6.0,10.0,149300.0
336,,659,950,12,11,1000.0,,1000.0,4.0,14.0,9228.0
337,,986,945,1,10,1000.0,1000.0,2000.0,0.0,15.0,
338,,988,1015,2,2,1000.0,,1000.0,10.0,3.0,147303.0
339,,991,769,6,11,1080.0,1000.0,2080.0,9.0,9.0,116040.0
340,,993,974,9,12,1516.0,1000.0,2516.0,0.0,4.0,7405.0
341,,996,1007,9,1,2520.0,1000.0,3520.0,1.0,7.0,88790.0
342,,997,834,4,1,2932.0,1000.0,3932.0,0.0,7.0,2944.0
343,,206,983,9,10,1199.0,1000.0,2199.0,8.0,9.0,143526.0
344,,999,910,5,10,2292.0,,2292.0,13.0,8.0,22346.0
345,,121,943,9,6,2833.0,,2833.0,12.0,1.0,59999.0
346,,1001,1015,8,4,1504.0,1000.0,2504.0,6.0,11.0,52521.0
347,,1009,998,8,6,1000.0,,1000.0,10.0,16.0,
348,,1010,981,6,12,1000.0,1000.0,2000.0,5.0,10.0,34975.0
349,,1011,906,8,7,1114.0,1000.0,2114.0,0.0,16.0,125903.0
350,,1014,945,6,9,1000.0,,1000.0,4.0,1.0,26481.0
351,,1022,1000,12,4,1188.0,1000.0,2188.0,15.0,,99798.0
352,,1023,894,12,9,2216.0,1000.0,3216.0,14.0,,26142.0
353,,1026,1013,12,2,1898.0,1000.0,2898.0,4.0,7.0,
354,,1030,910,4,3,1129.0,1000.0,2129.0,10.0,4.0,
355,20221001.0,1031,989,1,8,1000.0,,1000.0,6.0,12.0,108158.0
356,20220724.0,1034,942,10,11,2063.0,,2063.0,4.0,3.0,112040.0
357,,1036,948,4,11,1000.0,1000.0,2000.0,0.0,8.0,11113.0
358,,1046,947,7,4,2910.0,,2910.0,6.0,10.0,133201.0
359,,1053,919,3,5,1964.0,,1964.0,9.0,11.0,10896.0
360,,1057,905,12,2,2504.0,,2504.0,11.0,5.0,71607.0
361,,1058,998,1,10,2454.0,1000.0,3454.0,6.0,,62372.0
362,20221220.0,1064,948,1,4,1042.0,1000.0,2042.0,4.0,14.0,16105.0
363,,1074,825,4,10,1486.0,1000.0,2486.0,7.0,14.0,138630.0
364,,1075,983,6,4,1000.0,1000.0,2000.0,0.0,,38467.0
365,,1078,1015,8,2,1000.0,1000.0,2000.0,14.0,11.0,118272.0
