id_tiempo,id_cliente,id_vehiculo,id_sucursal,id_tipo_mantenimiento,costo_servicio,costo_repuestos,repuestos_usados,horas_taller,kilometraje_vehiculo
,663,396,8,5.0,19440.0,,20.0,4.0,17914.0
20230521,210,410,2,3.0,10090.0,4070.0,30.0,12.0,44327.0
20221102,291,14,9,2.0,8380.0,3200.0,20.0,5.0,35101.0
20211029,294,442,19,5.0,6270.0,,40.0,1.0,17158.0
,67,99,16,9.0,14020.0,1970.0,100.0,4.0,63401.0
,521,140,9,10.0,18930.0,1310.0,10.0,10.0,54515.0
20240410,420,196,15,2.0,14100.0,4910.0,30.0,4.0,37668.0
,548,366,23,4.0,16790.0,2630.0,100.0,12.0,76509.0
,43,226,24,4.0,16860.0,1570.0,90.0,1.0,66701.0
20240220,351,118,24,6.0,17420.0,,40.0,3.0,75615.0
,35,291,30,7.0,1000.0,3710.0,60.0,3.0,77604.0
,548,303,2,2.0,5630.0,,40.0,8.0,60842.0
,386,44,7,1.0,15970.0,,80.0,1.0,75898.0
20200108,202,409,6,10.0,7750.0,3410.0,30.0,3.0,19470.0
,491,228,18,10.0,14640.0,,70.0,12.0,68032.0
,44,194,8,10.0,15580.0,,70.0,10.0,26358.0
20240327,297,146,6,6.0,8360.0,,10.0,5.0,69440.0
20230523,664,300,9,9.0,12090.0,4780.0,100.0,2.0,47465.0
20201217,203,141,19,8.0,10360.0,,70.0,11.0,4750.0
20240303,60,228,21,6.0,5820.0,3830.0,60.0,2.0,24766.0
,647,210,3,3.0,7320.0,,100.0,2.0,15981.0
20231004,34,57,14,2.0,14940.0,1970.0,70.0,7.0,44989.0
,212,35,11,6.0,18650.0,3490.0,0.0,10.0,72539.0
,387,57,28,10.0,6450.0,4050.0,40.0,2.0,32746.0
,737,232,28,8.0,3910.0,4140.0,40.0,2.0,38484.0
20230906,211,300,19,2.0,2560.0,3060.0,80.0,8.0,9962.0
,391,305,9,1.0,8470.0,4770.0,0.0,8.0,78370.0
,772,182,1,3.0,4000.0,,20.0,1.0,31077.0
,229,346,22,9.0,4490.0,1000.0,50.0,3.0,40904.0
20231216,227,103,7,7.0,2460.0,,30.0,1.0,61513.0
,155,153,28,7.0,17340.0,,70.0,8.0,49943.0
20230710,216,321,10,9.0,12220.0,4650.0,60.0,11.0,24955.0
20240610,649,207,26,9.0,7140.0,2060.0,20.0,7.0,2496.0
,608,487,22,5.0,7990.0,1490.0,80.0,4.0,6662.0
,212,359,26,3.0,11660.0,,20.0,9.0,1193.0
,532,349,26,6.0,15010.0,,50.0,7.0,61655.0
,656,142,27,3.0,12820.0,,0.0,1.0,25012.0
,538,11,1,4.0,15880.0,1070.0,70.0,3.0,25937.0
,599,265,4,2.0,1710.0,4880.0,90.0,2.0,15140.0
,584,162,10,6.0,17270.0,4940.0,60.0,7.0,65027.0
,254,268,27,8.0,16230.0,2190.0,20.0,1.0,57972.0
,382,253,22,6.0,13350.0,,40.0,4.0,52888.0
,713,53,16,3.0,18120.0,3760.0,90.0,1.0,34899.0
20210602,765,90,6,8.0,19470.0,4030.0,50.0,11.0,18842.0
20240906,643,21,5,10.0,10480.0,4340.0,30.0,2.0,45873.0
20211206,637,210,25,5.0,7600.0,1000.0,60.0,1.0,64772.0
,483,500,2,1.0,4710.0,1300.0,10.0,11.0,25102.0
,496,179,2,7.0,7310.0,3130.0,60.0,6.0,31852.0
20220106,638,364,11,10.0,6040.0,3830.0,60.0,10.0,3216.0
20240324,226,288,14,9.0,7800.0,4560.0,100.0,9.0,77516.0
,361,275,8,9.0,2380.0,1000.0,60.0,3.0,10952.0
,473,327,25,6.0,17520.0,1350.0,70.0,2.0,62046.0
,617,325,14,1.0,2660.0,1510.0,10.0,9.0,47807.0
20210504,257,114,20,5.0,5390.0,3990.0,80.0,2.0,36189.0
20240814,90,84,26,8.0,14660.0,,90.0,11.0,18653.0
,503,323,21,9.0,7660.0,,10.0,7.0,38973.0
20200814,728,399,25,7.0,16740.0,,0.0,5.0,68718.0
20220901,538,186,28,7.0,15580.0,3000.0,20.0,3.0,24080.0
,162,16,9,7.0,3000.0,2110.0,10.0,2.0,39918.0
,652,274,17,2.0,16820.0,1000.0,0.0,10.0,27379.0
20230319,438,471,7,5.0,19660.0,1000.0,50.0,4.0,40860.0
,192,94,8,5.0,15830.0,1950.0,30.0,7.0,33436.0
20210322,488,324,7,9.0,11650.0,1020.0,60.0,5.0,39811.0
,429,234,13,1.0,4700.0,4990.0,10.0,3.0,12282.0
20200429,425,90,8,2.0,12990.0,3360.0,50.0,10.0,29907.0
20230702,413,49,4,2.0,11310.0,,70.0,9.0,25870.0
,45,382,7,9.0,8100.0,1820.0,90.0,1.0,4278.0
20200426,484,40,1,6.0,19010.0,2250.0,0.0,8.0,20638.0
,319,494,3,8.0,8530.0,,100.0,12.0,10604.0
20220130,630,184,16,4.0,5750.0,1730.0,40.0,1.0,23960.0
,346,459,8,10.0,1010.0,2120.0,100.0,8.0,33056.0
,444,247,20,7.0,6510.0,,90.0,4.0,7042.0
,695,490,9,1.0,15560.0,,90.0,8.0,4794.0
,179,60,14,5.0,19620.0,3730.0,40.0,2.0,63476.0
20240216,666,349,19,1.0,8370.0,1820.0,50.0,4.0,60306.0
20240331,197,365,27,8.0,1810.0,,40.0,7.0,24292.0
20211103,517,412,28,5.0,14120.0,2070.0,50.0,5.0,46193.0
20220228,716,165,16,2.0,1940.0,1330.0,40.0,5.0,60746.0
20200723,18,447,13,2.0,2130.0,2400.0,0.0,12.0,19684.0
,591,10,19,2.0,5480.0,,30.0,5.0,15905.0
,734,105,14,10.0,19690.0,,80.0,6.0,3264.0
,385,231,8,4.0,1120.0,1000.0,40.0,3.0,79277.0
,227,440,19,3.0,14370.0,,80.0,8.0,60006.0
,397,117,11,4.0,16720.0,1000.0,90.0,11.0,51259.0
20240422,106,261,6,6.0,2200.0,2670.0,90.0,1.0,63416.0
20241108,667,222,8,5.0,8330.0,2760.0,90.0,5.0,1838.0
20210419,342,489,9,2.0,17040.0,3420.0,10.0,3.0,41308.0
20231009,412,407,3,1.0,3060.0,3990.0,50.0,3.0,6740.0
20240914,454,485,21,4.0,3790.0,1000.0,10.0,11.0,13374.0
,494,331,26,1.0,1680.0,1000.0,20.0,8.0,35595.0
,656,273,12,3.0,9260.0,,100.0,10.0,50444.0
,286,8,19,4.0,8760.0,3510.0,30.0,7.0,33628.0
,710,412,18,1.0,12690.0,3870.0,30.0,9.0,4098.0
20200429,338,128,26,1.0,12980.0,1010.0,40.0,6.0,33613.0
,622,400,22,1.0,11400.0,2800.0,100.0,2.0,15325.0
,480,93,11,9.0,14250.0,3740.0,60.0,12.0,29526.0
,49,128,20,5.0,15300.0,2880.0,90.0,4.0,58734.0
20200928,732,314,6,5.0,5870.0,1120.0,90.0,11.0,9543.0
,700,308,5,8.0,4610.0,4720.0,20.0,8.0,67221.0
,287,322,4,10.0,12600.0,3460.0,90.0,2.0,72218.0
20230514,400,107,27,7.0,1710.0,,10.0,1.0,59536.0
,247,192,28,5.0,3630.0,1490.0,10.0,3.0,68215.0
20200519,759,256,6,2.0,1000.0,,100.0,10.0,38929.0
,493,21,24,2.0,11900.0,,10.0,9.0,58300.0
,697,12,26,9.0,2430.0,2500.0,60.0,7.0,55932.0
,288,415,18,5.0,7570.0,3260.0,60.0,4.0,55982.0
,35,89,23,2.0,6300.0,3470.0,50.0,7.0,73588.0
,411,381,5,1.0,9310.0,1000.0,70.0,8.0,64252.0
,696,111,22,8.0,2830.0,1940.0,10.0,4.0,12703.0
,245,112,12,2.0,5510.0,3270.0,30.0,4.0,74128.0
,750,12,27,3.0,19400.0,1000.0,10.0,4.0,2540.0
20201120,144,126,20,10.0,6920.0,2440.0,10.0,11.0,76347.0
20210514,197,44,8,1.0,6350.0,1380.0,90.0,4.0,74216.0
20221006,13,12,14,6.0,17040.0,,20.0,2.0,3510.0
20241105,403,221,7,10.0,17210.0,1000.0,50.0,11.0,49928.0
20240816,371,444,19,10.0,15080.0,,20.0,3.0,71589.0
,12,400,21,3.0,3950.0,2590.0,20.0,12.0,18430.0
,672,13,9,7.0,18750.0,1640.0,0.0,4.0,23396.0
,321,213,17,7.0,5550.0,2070.0,100.0,3.0,34946.0
,618,430,15,3.0,11460.0,,80.0,12.0,13686.0
20220815,444,68,5,2.0,18010.0,2390.0,100.0,2.0,68261.0
,667,224,9,3.0,6350.0,,90.0,10.0,8693.0
,558,176,17,10.0,9660.0,1840.0,40.0,3.0,5594.0
20230414,148,375,30,7.0,9030.0,,30.0,11.0,66504.0
,230,14,28,6.0,1730.0,1250.0,40.0,7.0,10376.0
20240402,557,351,17,2.0,8420.0,,40.0,3.0,41391.0
20230604,469,5,1,9.0,16920.0,4560.0,70.0,8.0,34890.0
,133,204,12,6.0,13610.0,,90.0,11.0,47778.0
,130,55,14,9.0,1360.0,,40.0,2.0,14996.0
20210419,583,12,27,3.0,16920.0,,10.0,7.0,51674.0
,463,257,19,4.0,4470.0,,60.0,5.0,3881.0
20220622,620,202,3,10.0,14500.0,1730.0,50.0,1.0,59979.0
,728,27,3,2.0,4020.0,,30.0,11.0,18002.0
,533,379,24,5.0,7890.0,3780.0,10.0,5.0,1305.0
,310,472,24,9.0,10940.0,4240.0,80.0,6.0,70857.0
20240325,261,476,11,10.0,17330.0,,0.0,1.0,13123.0
20231025,480,41,2,5.0,3160.0,2320.0,50.0,1.0,78463.0
20230805,700,233,11,9.0,18820.0,,90.0,3.0,46876.0
,82,500,24,9.0,10870.0,2370.0,30.0,9.0,60136.0
,785,39,14,3.0,13700.0,4020.0,20.0,9.0,72327.0
20220823,474,45,13,7.0,13660.0,4350.0,50.0,3.0,58945.0
20210801,235,490,2,9.0,18020.0,,40.0,3.0,42795.0
,732,295,10,2.0,8580.0,4730.0,70.0,7.0,60818.0
20210922,260,311,17,9.0,10630.0,3310.0,50.0,3.0,68810.0
,395,6,26,1.0,6900.0,,70.0,5.0,19672.0
,5,465,29,4.0,3890.0,1000.0,40.0,11.0,58460.0
,705,160,9,10.0,19850.0,3750.0,60.0,9.0,37170.0
20200612,667,313,2,9.0,3780.0,2370.0,60.0,4.0,56895.0
,750,477,17,9.0,12470.0,,50.0,11.0,5382.0
,337,204,25,5.0,5320.0,1880.0,60.0,12.0,58566.0
20220601,712,324,19,6.0,10070.0,4900.0,10.0,11.0,70717.0
,244,137,25,1.0,16130.0,2610.0,50.0,5.0,19712.0
,175,399,23,5.0,15160.0,1000.0,90.0,4.0,68876.0
,701,49,3,8.0,17680.0,4540.0,10.0,8.0,24259.0
20210922,220,235,9,2.0,7230.0,1330.0,90.0,10.0,56671.0
20200512,447,80,10,10.0,14820.0,1920.0,50.0,5.0,28603.0
,297,471,8,7.0,4280.0,,40.0,8.0,39236.0
20200608,606,5,20,3.0,11930.0,,50.0,6.0,65344.0
,41,406,3,8.0,3500.0,4130.0,70.0,1.0,65407.0
,4,447,19,4.0,9760.0,1000.0,20.0,7.0,30428.0
,561,461,9,9.0,5840.0,,20.0,1.0,42021.0
20230930,12,163,10,9.0,5870.0,,70.0,6.0,67945.0
,117,78,8,2.0,6110.0,1000.0,40.0,9.0,28181.0
,180,460,22,2.0,13870.0,,60.0,9.0,33414.0
,364,207,23,7.0,6650.0,1460.0,20.0,5.0,24497.0
20230112,359,495,24,6.0,1940.0,2440.0,10.0,8.0,25795.0
,241,465,8,10.0,9460.0,2500.0,50.0,5.0,21994.0
20200525,257,152,12,9.0,12470.0,1000.0,100.0,5.0,59930.0
,401,109,21,9.0,15220.0,,70.0,1.0,26563.0
,208,89,26,9.0,7150.0,2720.0,40.0,5.0,25471.0
20230524,662,356,28,9.0,15300.0,,90.0,3.0,53240.0
,213,237,8,2.0,1000.0,1000.0,50.0,4.0,74952.0
,274,209,1,5.0,13060.0,,0.0,5.0,1321.0
,270,83,27,10.0,15000.0,3990.0,90.0,3.0,11959.0
,785,237,29,6.0,6280.0,1570.0,50.0,10.0,45998.0
,609,211,12,5.0,14010.0,4180.0,80.0,1.0,61363.0
,458,131,1,3.0,10670.0,,60.0,11.0,1847.0
20201104,70,441,12,2.0,11450.0,4820.0,50.0,11.0,65267.0
20241230,113,299,11,5.0,10810.0,4800.0,70.0,2.0,31930.0
20230620,256,204,27,3.0,14770.0,1910.0,30.0,6.0,32891.0
20240514,694,228,24,9.0,8970.0,3210.0,70.0,8.0,25733.0
,590,54,28,1.0,8130.0,1600.0,10.0,4.0,20306.0
,551,488,22,2.0,14750.0,1000.0,90.0,11.0,77166.0
,171,190,18,4.0,19370.0,,30.0,9.0,47241.0
,614,52,22,5.0,4640.0,2420.0,50.0,11.0,72037.0
20220628,533,93,21,4.0,12740.0,1040.0,0.0,3.0,11293.0
,171,201,20,1.0,9910.0,1230.0,100.0,6.0,12239.0
,309,444,26,7.0,7630.0,2900.0,70.0,12.0,40554.0
20230805,556,365,7,2.0,3190.0,3220.0,20.0,3.0,62830.0
20231114,758,384,30,7.0,16750.0,,30.0,2.0,66010.0
,727,402,3,8.0,17700.0,4590.0,80.0,4.0,11714.0
,401,21,11,7.0,12580.0,2100.0,70.0,3.0,75655.0
,610,141,8,9.0,16310.0,3410.0,100.0,9.0,10876.0
,192,40,3,2.0,9190.0,,10.0,2.0,19574.0
,731,59,12,9.0,2340.0,3000.0,50.0,4.0,6165.0
,766,221,28,4.0,7900.0,3890.0,0.0,1.0,1741.0
20210803,399,485,6,7.0,17940.0,1780.0,0.0,12.0,16344.0
,179,17,22,9.0,7580.0,3500.0,60.0,1.0,34399.0
,365,407,2,10.0,17460.0,1000.0,90.0,8.0,55616.0
,12,465,17,7.0,13990.0,1000.0,0.0,6.0,10814.0
20240108,750,409,27,2.0,7850.0,1780.0,60.0,12.0,58552.0
,399,254,10,2.0,19750.0,1000.0,20.0,2.0,6408.0
20241114,576,67,3,2.0,7890.0,3330.0,90.0,7.0,21976.0
,329,250,10,9.0,2300.0,,10.0,7.0,5430.0
,732,471,6,8.0,17290.0,3650.0,80.0,2.0,60940.0
20230524,136,456,7,7.0,4520.0,,40.0,2.0,31207.0
,27,95,29,1.0,8330.0,1890.0,90.0,3.0,33909.0
,492,481,15,4.0,8700.0,2440.0,0.0,9.0,77207.0
,660,231,22,10.0,5500.0,1920.0,70.0,3.0,67341.0
,479,105,1,3.0,11290.0,4300.0,20.0,10.0,14632.0
,667,126,23,3.0,15100.0,1000.0,20.0,1.0,76005.0
20200528,273,38,14,7.0,1550.0,3310.0,100.0,10.0,13941.0
,521,288,4,8.0,1000.0,,0.0,4.0,68126.0
,773,466,30,5.0,9190.0,1000.0,60.0,11.0,17568.0
,566,128,2,8.0,1160.0,,0.0,11.0,56698.0
,709,430,14,1.0,6950.0,3670.0,10.0,2.0,58786.0
20200110,798,368,17,9.0,6910.0,1750.0,20.0,7.0,13454.0
,112,481,18,8.0,1690.0,2780.0,10.0,6.0,7099.0
20220328,172,362,19,5.0,1270.0,,80.0,9.0,31560.0
,22,158,20,9.0,10530.0,1830.0,60.0,11.0,5197.0
20220227,222,472,24,4.0,16180.0,,30.0,4.0,5226.0
,441,153,22,8.0,17770.0,,80.0,4.0,49107.0
20230620,357,439,25,5.0,3790.0,,40.0,9.0,63079.0
,520,63,24,1.0,12000.0,2020.0,10.0,1.0,57475.0
20210921,36,249,27,9.0,11490.0,2620.0,20.0,1.0,9335.0
20221211,657,386,4,4.0,13090.0,3530.0,100.0,11.0,66208.0
,621,13,14,10.0,12530.0,,70.0,11.0,51869.0
20200823,189,2,11,5.0,11160.0,,100.0,2.0,31406.0
20240528,785,433,30,4.0,1000.0,4800.0,0.0,9.0,45130.0
20230104,55,182,13,9.0,12530.0,,70.0,4.0,38627.0
,96,408,1,5.0,16070.0,4760.0,100.0,7.0,71953.0
20200314,255,287,17,3.0,9670.0,,20.0,12.0,34978.0
20230304,121,389,10,6.0,18200.0,,50.0,3.0,64747.0
,709,79,24,7.0,3590.0,1000.0,40.0,3.0,6878.0
,373,497,24,3.0,1000.0,3600.0,10.0,4.0,13951.0
20210916,373,364,19,10.0,11210.0,1190.0,70.0,8.0,27484.0
,169,125,16,10.0,13850.0,3150.0,100.0,3.0,18496.0
,396,472,26,10.0,7510.0,,90.0,5.0,59501.0
20210803,766,200,26,9.0,4960.0,,30.0,6.0,2231.0
,689,363,8,10.0,7970.0,4910.0,60.0,3.0,24885.0
,652,349,18,8.0,4670.0,,100.0,1.0,26872.0
20230602,72,204,12,7.0,11980.0,4570.0,30.0,3.0,21163.0
20221001,541,429,2,6.0,16680.0,2580.0,100.0,2.0,47165.0
,449,42,20,4.0,14890.0,1020.0,50.0,6.0,71450.0
20200925,434,19,3,4.0,1340.0,4370.0,100.0,4.0,2336.0
,760,17,18,3.0,18820.0,1140.0,90.0,9.0,67908.0
20200730,550,153,11,1.0,5610.0,4590.0,0.0,3.0,53722.0
,760,331,23,4.0,4400.0,4860.0,70.0,4.0,26352.0
20240602,155,264,15,9.0,13260.0,1000.0,100.0,3.0,41595.0
20220301,703,389,10,4.0,10160.0,,100.0,6.0,78040.0
,48,360,19,10.0,2360.0,,60.0,6.0,8015.0
20240519,241,273,3,1.0,11970.0,1670.0,10.0,9.0,70972.0
20230728,605,313,2,5.0,17110.0,3430.0,50.0,4.0,57043.0
,233,105,12,4.0,11890.0,,50.0,6.0,64138.0
20210614,747,224,12,1.0,2350.0,,90.0,4.0,51988.0
20201116,30,1,1,6.0,8550.0,,80.0,8.0,9321.0
20210728,321,227,24,5.0,8770.0,,10.0,7.0,6003.0
20201116,614,403,6,5.0,15410.0,,10.0,5.0,54588.0
,85,351,21,2.0,14870.0,4990.0,20.0,8.0,25605.0
,115,278,21,10.0,6730.0,1910.0,70.0,10.0,33712.0
,545,182,4,8.0,19930.0,2870.0,30.0,5.0,16197.0
20220518,209,180,27,4.0,1720.0,1000.0,20.0,4.0,65349.0
,70,138,16,5.0,17260.0,4110.0,80.0,5.0,60218.0
20201228,665,144,29,3.0,11350.0,,40.0,3.0,39704.0
,548,79,11,10.0,7840.0,,80.0,1.0,63049.0
20230723,597,306,15,10.0,12380.0,2970.0,10.0,10.0,79510.0
20200424,299,454,11,7.0,19330.0,2000.0,60.0,3.0,71529.0
20210112,775,226,19,9.0,14110.0,4060.0,50.0,7.0,30736.0
,326,343,14,7.0,14000.0,2530.0,80.0,8.0,62740.0
,741,453,20,1.0,13820.0,,50.0,5.0,49720.0
20241115,699,453,1,4.0,9930.0,,0.0,6.0,41097.0
20200301,102,230,13,8.0,19310.0,2960.0,60.0,2.0,71288.0
,40,171,21,8.0,9820.0,,20.0,10.0,62365.0
20231004,780,117,14,7.0,4890.0,1760.0,10.0,9.0,58104.0
20211229,714,86,10,5.0,7720.0,,100.0,4.0,58147.0
,552,343,14,2.0,19910.0,3510.0,70.0,6.0,29074.0
20240701,108,78,24,1.0,2320.0,,90.0,11.0,33285.0
,649,207,6,8.0,15210.0,4590.0,10.0,11.0,11468.0
20200622,205,392,29,3.0,16910.0,,60.0,5.0,37468.0
,43,134,16,4.0,1000.0,4250.0,0.0,4.0,14197.0
,384,318,22,1.0,9700.0,1000.0,30.0,10.0,23180.0
,201,390,29,7.0,18160.0,2580.0,20.0,7.0,67536.0
,583,467,6,8.0,9310.0,,40.0,7.0,55082.0
,278,70,16,8.0,2790.0,3340.0,30.0,1.0,39963.0
,496,9,4,1.0,12450.0,,0.0,1.0,8498.0
,127,13,8,10.0,8550.0,4390.0,50.0,8.0,17397.0
,208,307,24,7.0,1460.0,,70.0,5.0,27593.0
,757,396,6,5.0,17810.0,,10.0,2.0,21617.0
,687,450,2,2.0,9030.0,1010.0,30.0,1.0,20033.0
20210220,260,199,26,5.0,6590.0,2140.0,50.0,8.0,36544.0
20211214,251,381,11,2.0,6750.0,1930.0,50.0,6.0,14127.0
20230312,754,318,8,1.0,12960.0,,80.0,10.0,65681.0
20221006,424,467,23,8.0,9430.0,4780.0,20.0,2.0,58044.0
,443,474,7,10.0,11960.0,,50.0,1.0,38422.0
20200929,221,350,18,5.0,5030.0,,70.0,4.0,72420.0
,459,253,6,8.0,1000.0,1000.0,90.0,7.0,44355.0
,634,172,30,5.0,15520.0,4490.0,60.0,9.0,56695.0
,515,337,25,9.0,3930.0,1420.0,0.0,8.0,32072.0
,673,228,18,4.0,1270.0,,90.0,5.0,20463.0
,297,194,30,2.0,17830.0,2380.0,70.0,9.0,2394.0
20241020,749,233,20,8.0,6040.0,,100.0,3.0,63083.0
20211015,240,160,1,6.0,12720.0,,90.0,1.0,74242.0
,541,274,30,7.0,6450.0,2680.0,70.0,10.0,68708.0
20200417,378,432,7,8.0,10160.0,,70.0,2.0,34563.0
20231009,567,227,15,1.0,13650.0,4370.0,20.0,5.0,37451.0
