id_tiempo,id_cliente,id_vehiculo,id_sucursal,id_tipo_mantenimiento,costo_servicio,costo_repuestos,costo_total,repuestos_usados,horas_taller,kilometraje_vehiculo
,204,339,1,11.0,1300.0,,1300.0,8.0,6.0,89929.0
,897,194,8,3.0,2285.0,1000.0,3285.0,13.0,1.0,145474.0
,860,42,15,4.0,2339.0,1000.0,3339.0,13.0,5.0,135075.0
20220702.0,761,346,30,3.0,2446.0,,2446.0,0.0,13.0,55073.0
,315,373,5,3.0,2181.0,1000.0,3181.0,5.0,16.0,133705.0
,157,574,23,6.0,1000.0,1000.0,2000.0,13.0,10.0,52375.0
,602,252,25,8.0,1779.0,,1779.0,0.0,3.0,53857.0
,637,375,1,4.0,1261.0,,1261.0,5.0,15.0,105416.0
,143,337,3,10.0,1000.0,,1000.0,10.0,13.0,62259.0
20230922.0,261,494,2,1.0,1000.0,,1000.0,6.0,9.0,149485.0
,787,220,32,7.0,2233.0,1000.0,3233.0,14.0,1.0,39945.0
,675,33,16,8.0,1000.0,1000.0,2000.0,0.0,8.0,36559.0
,135,247,20,6.0,1570.0,1000.0,2570.0,10.0,6.0,108182.0
,533,17,35,2.0,1000.0,1000.0,2000.0,13.0,8.0,45545.0
,82,279,2,5.0,1000.0,1000.0,2000.0,7.0,7.0,
,840,39,34,10.0,1444.0,1000.0,2444.0,1.0,15.0,139378.0
,631,254,30,4.0,2265.0,1000.0,3265.0,13.0,5.0,66275.0
,370,276,24,2.0,1000.0,1000.0,2000.0,4.0,,
,190,511,32,9.0,1000.0,,1000.0,4.0,14.0,118573.0
,657,190,7,2.0,2120.0,,2120.0,13.0,8.0,47991.0
,238,296,24,1.0,,1000.0,1000.0,3.0,16.0,91466.0
,75,538,17,11.0,2191.0,,2191.0,0.0,11.0,
,369,81,18,9.0,2503.0,1000.0,3503.0,1.0,12.0,74538.0
,192,325,7,10.0,2004.0,1000.0,3004.0,8.0,5.0,143950.0
,866,488,31,9.0,1000.0,1000.0,2000.0,13.0,7.0,144788.0
,360,315,31,9.0,1394.0,1000.0,2394.0,14.0,12.0,139995.0
,389,103,14,5.0,2769.0,1000.0,3769.0,10.0,11.0,63315.0
,135,441,29,8.0,1000.0,1000.0,2000.0,3.0,16.0,2151.0
,406,151,12,5.0,1000.0,1000.0,2000.0,14.0,12.0,31060.0
,367,188,28,8.0,2274.0,1000.0,3274.0,6.0,9.0,
,452,381,35,4.0,1422.0,,1422.0,8.0,3.0,53575.0
,50,485,16,3.0,1000.0,1000.0,2000.0,3.0,6.0,
,432,475,33,8.0,2220.0,,2220.0,8.0,7.0,145620.0
,714,56,20,6.0,2035.0,1000.0,3035.0,5.0,10.0,
,835,294,27,6.0,1000.0,,1000.0,4.0,14.0,140537.0
,899,162,11,12.0,1000.0,,1000.0,5.0,10.0,61916.0
,32,582,18,4.0,,,0.0,8.0,4.0,122736.0
,175,251,32,11.0,2293.0,,2293.0,5.0,,12640.0
,392,344,34,3.0,2842.0,,2842.0,4.0,8.0,12397.0
,225,340,29,12.0,2631.0,1000.0,3631.0,10.0,11.0,
,289,219,13,1.0,1000.0,1000.0,2000.0,2.0,,
,405,432,33,8.0,1000.0,1000.0,2000.0,6.0,1.0,80589.0
,357,148,30,5.0,,1000.0,1000.0,0.0,6.0,84414.0
,536,506,28,12.0,1000.0,,1000.0,0.0,12.0,147489.0
,309,55,17,3.0,1000.0,,1000.0,1.0,4.0,106224.0
,113,33,14,3.0,1883.0,1000.0,2883.0,8.0,11.0,17718.0
,413,107,3,12.0,1672.0,,1672.0,0.0,3.0,115531.0
,765,76,24,5.0,1000.0,1000.0,2000.0,12.0,12.0,19472.0
20231021.0,492,532,9,12.0,2451.0,1000.0,3451.0,6.0,11.0,88358.0
,408,480,20,10.0,1232.0,1000.0,2232.0,8.0,4.0,
,406,43,18,10.0,1000.0,1000.0,2000.0,13.0,1.0,22652.0
,516,521,14,11.0,1374.0,,1374.0,0.0,2.0,3059.0
,150,69,11,7.0,1669.0,,1669.0,11.0,6.0,31761.0
,118,335,23,8.0,2131.0,1000.0,3131.0,3.0,12.0,
,161,476,34,10.0,1000.0,,1000.0,9.0,15.0,39314.0
,112,334,5,1.0,2077.0,1000.0,3077.0,4.0,15.0,113538.0
,559,104,4,2.0,1943.0,1000.0,2943.0,5.0,14.0,37070.0
,489,307,8,5.0,1301.0,,1301.0,8.0,12.0,7841.0
,568,155,33,5.0,2815.0,1000.0,3815.0,2.0,6.0,43826.0
,362,330,21,9.0,2121.0,1000.0,3121.0,3.0,5.0,121980.0
,502,386,15,6.0,1000.0,1000.0,2000.0,11.0,2.0,24062.0
,771,246,22,4.0,1751.0,1000.0,2751.0,7.0,9.0,8364.0
,740,543,22,12.0,2540.0,1000.0,3540.0,0.0,9.0,99921.0
,444,547,8,3.0,1090.0,,1090.0,1.0,13.0,
,879,290,14,5.0,1101.0,1000.0,2101.0,14.0,,132608.0
,552,516,29,11.0,1000.0,1000.0,2000.0,15.0,8.0,37391.0
,711,597,32,3.0,2243.0,,2243.0,12.0,15.0,49908.0
,359,421,22,6.0,1763.0,1000.0,2763.0,4.0,5.0,62640.0
20220615.0,222,427,17,9.0,1075.0,1000.0,2075.0,11.0,3.0,112642.0
,570,424,15,7.0,1000.0,1000.0,2000.0,4.0,,74815.0
,400,559,25,5.0,1843.0,1000.0,2843.0,12.0,16.0,1815.0
,723,256,13,9.0,2338.0,,2338.0,0.0,15.0,28065.0
,291,60,24,9.0,1546.0,1000.0,2546.0,9.0,,23981.0
,384,427,26,8.0,2821.0,1000.0,3821.0,2.0,3.0,23416.0
,157,185,24,4.0,1855.0,1000.0,2855.0,11.0,12.0,32587.0
,578,569,33,3.0,1000.0,1000.0,2000.0,3.0,1.0,116542.0
,240,277,14,10.0,1429.0,1000.0,2429.0,15.0,11.0,68447.0
,515,20,14,2.0,1579.0,,1579.0,0.0,15.0,92307.0
,113,579,21,1.0,1212.0,1000.0,2212.0,4.0,,85430.0
,66,596,26,3.0,1728.0,,1728.0,12.0,1.0,73106.0
,895,174,15,11.0,1810.0,,1810.0,7.0,8.0,17569.0
,245,409,18,7.0,1095.0,,1095.0,10.0,5.0,
,640,437,10,10.0,2989.0,,2989.0,13.0,13.0,102357.0
20210819.0,258,213,22,8.0,1805.0,1000.0,2805.0,11.0,5.0,140800.0
,334,420,25,3.0,1401.0,,1401.0,15.0,4.0,129796.0
,840,417,25,1.0,1240.0,1000.0,2240.0,5.0,8.0,83052.0
,342,443,12,5.0,1000.0,,1000.0,15.0,10.0,93817.0
,392,365,20,11.0,1000.0,1000.0,2000.0,0.0,15.0,
,428,95,30,5.0,1181.0,1000.0,2181.0,4.0,,110305.0
,579,100,27,3.0,2031.0,1000.0,3031.0,3.0,13.0,55076.0
,11,370,20,10.0,1000.0,,1000.0,13.0,2.0,42086.0
,223,586,6,10.0,1312.0,1000.0,2312.0,2.0,16.0,122023.0
,530,151,19,5.0,1000.0,1000.0,2000.0,2.0,,142229.0
,496,251,34,1.0,,1000.0,1000.0,4.0,10.0,62963.0
,328,447,5,5.0,2234.0,,2234.0,9.0,7.0,15882.0
,367,572,34,6.0,2405.0,1000.0,3405.0,1.0,1.0,122814.0
,96,233,7,12.0,2374.0,,2374.0,2.0,6.0,23888.0
,207,39,21,11.0,1000.0,,1000.0,1.0,,121833.0
,619,19,2,12.0,1367.0,1000.0,2367.0,11.0,1.0,106329.0
,190,594,27,4.0,1000.0,1000.0,2000.0,6.0,12.0,138075.0
,695,350,29,10.0,2753.0,,2753.0,0.0,15.0,122272.0
,14,107,8,11.0,2885.0,1000.0,3885.0,1.0,13.0,85685.0
,274,167,11,11.0,1407.0,,1407.0,0.0,5.0,114550.0
,570,460,22,8.0,1649.0,1000.0,2649.0,0.0,7.0,106310.0
,388,532,17,9.0,1000.0,1000.0,2000.0,9.0,,
,697,517,4,10.0,2032.0,1000.0,3032.0,15.0,14.0,84151.0
,332,306,30,2.0,1000.0,,1000.0,7.0,4.0,21898.0
20200722.0,404,88,17,3.0,1407.0,1000.0,2407.0,2.0,12.0,146273.0
,467,73,32,9.0,1089.0,1000.0,2089.0,8.0,12.0,139584.0
,555,560,21,6.0,1000.0,1000.0,2000.0,0.0,12.0,21660.0
,746,532,28,9.0,2625.0,1000.0,3625.0,0.0,15.0,70488.0
,325,46,28,11.0,1000.0,,1000.0,0.0,14.0,1961.0
20241001.0,14,166,21,12.0,1000.0,1000.0,2000.0,14.0,3.0,122540.0
,522,223,14,10.0,1650.0,1000.0,2650.0,13.0,,26396.0
,709,457,18,9.0,2569.0,,2569.0,8.0,1.0,34286.0
,170,346,10,5.0,1000.0,1000.0,2000.0,15.0,12.0,73739.0
,751,74,2,8.0,1000.0,,1000.0,0.0,16.0,
,182,259,23,5.0,,1000.0,1000.0,1.0,10.0,66223.0
,309,559,1,9.0,2387.0,1000.0,3387.0,14.0,11.0,
,674,451,8,1.0,1417.0,,1417.0,1.0,11.0,
,391,447,23,12.0,1987.0,1000.0,2987.0,0.0,6.0,142856.0
,260,25,30,6.0,2720.0,1000.0,3720.0,3.0,3.0,126042.0
20210619.0,852,53,18,12.0,1907.0,1000.0,2907.0,6.0,,126898.0
,844,174,26,4.0,1812.0,1000.0,2812.0,0.0,6.0,89613.0
,868,206,10,12.0,1000.0,1000.0,2000.0,1.0,5.0,130813.0
20240326.0,780,531,24,5.0,2340.0,1000.0,3340.0,11.0,1.0,107059.0
,772,210,34,6.0,2577.0,1000.0,3577.0,2.0,10.0,33046.0
,47,347,30,8.0,1466.0,,1466.0,6.0,9.0,4602.0
,830,268,6,3.0,1990.0,1000.0,2990.0,7.0,,49553.0
,63,446,22,2.0,2160.0,,2160.0,7.0,5.0,40640.0
,325,321,30,8.0,2135.0,1000.0,3135.0,13.0,2.0,54667.0
,312,325,5,5.0,2295.0,1000.0,3295.0,14.0,11.0,103696.0
,454,54,8,9.0,2627.0,1000.0,3627.0,0.0,6.0,21514.0
,243,537,27,3.0,1854.0,1000.0,2854.0,9.0,7.0,67052.0
20201025.0,801,247,6,7.0,1000.0,,1000.0,5.0,7.0,114974.0
,245,514,1,3.0,1839.0,1000.0,2839.0,2.0,9.0,134988.0
,816,208,13,2.0,1000.0,,1000.0,10.0,5.0,99717.0
,11,367,34,12.0,1000.0,1000.0,2000.0,3.0,11.0,
,297,156,11,7.0,1217.0,1000.0,2217.0,0.0,,63773.0
,238,430,32,8.0,2418.0,1000.0,3418.0,9.0,15.0,53344.0
,291,42,26,3.0,1000.0,1000.0,2000.0,15.0,14.0,34710.0
20240423.0,215,146,6,10.0,1000.0,1000.0,2000.0,6.0,13.0,109573.0
,674,88,16,8.0,2775.0,1000.0,3775.0,0.0,1.0,133427.0
,622,134,29,2.0,1363.0,1000.0,2363.0,14.0,16.0,58369.0
,303,208,28,1.0,2798.0,1000.0,3798.0,0.0,2.0,33780.0
,523,323,3,3.0,1000.0,1000.0,2000.0,7.0,9.0,73900.0
,484,600,28,10.0,2878.0,1000.0,3878.0,6.0,14.0,9995.0
,224,416,4,3.0,1163.0,,1163.0,2.0,14.0,76038.0
,412,207,24,6.0,2042.0,1000.0,3042.0,0.0,,20935.0
,628,360,31,7.0,1000.0,1000.0,2000.0,5.0,3.0,91752.0
,423,126,22,10.0,1000.0,,1000.0,12.0,4.0,34261.0
,578,35,29,9.0,2676.0,1000.0,3676.0,7.0,10.0,
,180,440,11,6.0,1000.0,1000.0,2000.0,10.0,4.0,81792.0
,729,122,3,8.0,1000.0,1000.0,2000.0,5.0,8.0,
,331,47,5,1.0,2223.0,,2223.0,2.0,3.0,51686.0
,314,483,10,8.0,2854.0,,2854.0,9.0,13.0,43071.0
,108,532,16,8.0,1000.0,1000.0,2000.0,9.0,9.0,14304.0
,53,309,20,10.0,,1000.0,1000.0,0.0,2.0,12494.0
,689,159,33,4.0,1000.0,1000.0,2000.0,0.0,5.0,5238.0
,190,141,6,5.0,1407.0,1000.0,2407.0,1.0,13.0,2778.0
,600,222,5,12.0,2450.0,1000.0,3450.0,0.0,3.0,45395.0
,769,426,35,5.0,2175.0,1000.0,3175.0,12.0,11.0,801.0
,489,599,28,6.0,1176.0,,1176.0,8.0,16.0,27900.0
20230207.0,677,314,35,11.0,1000.0,1000.0,2000.0,0.0,2.0,
,237,28,28,1.0,1000.0,1000.0,2000.0,5.0,16.0,1594.0
,457,491,7,11.0,1240.0,1000.0,2240.0,1.0,5.0,25728.0
,266,435,19,3.0,1819.0,1000.0,2819.0,1.0,2.0,
,138,379,31,12.0,1297.0,1000.0,2297.0,4.0,2.0,
,12,321,3,9.0,1321.0,1000.0,2321.0,7.0,10.0,
,271,459,3,12.0,1350.0,,1350.0,3.0,,102711.0
,765,415,3,10.0,1000.0,1000.0,2000.0,4.0,7.0,15741.0
,180,20,33,6.0,2765.0,,2765.0,0.0,15.0,43217.0
,736,86,27,8.0,1648.0,1000.0,2648.0,5.0,,74447.0
,787,430,9,8.0,1637.0,,1637.0,14.0,12.0,100020.0
,408,82,12,2.0,,1000.0,1000.0,9.0,16.0,115041.0
,373,178,5,12.0,1000.0,1000.0,2000.0,0.0,2.0,74915.0
,746,589,32,1.0,2605.0,,2605.0,15.0,3.0,78738.0
,526,359,19,6.0,1697.0,1000.0,2697.0,0.0,5.0,69962.0
20231022.0,797,5,6,5.0,1000.0,1000.0,2000.0,10.0,5.0,99203.0
20210419.0,46,326,28,4.0,1518.0,1000.0,2518.0,10.0,10.0,28954.0
,408,94,5,11.0,1000.0,1000.0,2000.0,5.0,3.0,
,248,155,1,8.0,1038.0,1000.0,2038.0,11.0,8.0,106701.0
,270,427,31,10.0,2840.0,,2840.0,3.0,5.0,66301.0
,600,329,23,3.0,1708.0,,1708.0,6.0,16.0,93340.0
,229,25,29,1.0,1000.0,1000.0,2000.0,3.0,,30948.0
,188,162,35,3.0,1348.0,1000.0,2348.0,7.0,,109619.0
,130,47,10,9.0,2949.0,1000.0,3949.0,13.0,11.0,93240.0
,477,32,10,1.0,2114.0,1000.0,3114.0,8.0,14.0,108288.0
,503,551,19,11.0,2734.0,1000.0,3734.0,4.0,4.0,
,155,528,27,10.0,1230.0,1000.0,2230.0,0.0,9.0,92266.0
,683,533,30,4.0,1142.0,,1142.0,0.0,,
,186,236,3,4.0,1000.0,1000.0,2000.0,14.0,,124761.0
20240705.0,383,12,10,6.0,1000.0,1000.0,2000.0,10.0,,136201.0
,236,517,7,12.0,1471.0,,1471.0,4.0,4.0,
,80,487,21,10.0,1000.0,,1000.0,9.0,5.0,112207.0
,642,483,35,1.0,,1000.0,1000.0,15.0,11.0,43128.0
,829,28,32,2.0,1000.0,1000.0,2000.0,0.0,16.0,120121.0
20200215.0,58,328,19,10.0,1273.0,,1273.0,12.0,1.0,33860.0
20200623.0,621,499,26,11.0,2336.0,1000.0,3336.0,0.0,6.0,38792.0
,754,380,35,2.0,1778.0,,1778.0,15.0,13.0,34279.0
,35,591,6,2.0,1251.0,1000.0,2251.0,11.0,2.0,139555.0
,645,263,3,1.0,2813.0,1000.0,3813.0,9.0,11.0,69199.0
20210626.0,533,85,21,3.0,1000.0,1000.0,2000.0,0.0,6.0,87554.0
,24,531,5,5.0,2638.0,1000.0,3638.0,6.0,4.0,130996.0
,28,522,2,1.0,1058.0,,1058.0,4.0,1.0,58574.0
,821,119,7,6.0,2514.0,1000.0,3514.0,13.0,3.0,133331.0
,398,421,16,4.0,1098.0,,1098.0,0.0,7.0,71780.0
,31,28,2,9.0,2557.0,,2557.0,3.0,10.0,
,832,347,18,7.0,1000.0,1000.0,2000.0,13.0,5.0,126897.0
,837,451,22,11.0,2557.0,1000.0,3557.0,9.0,13.0,23373.0
,204,554,23,10.0,1918.0,,1918.0,10.0,16.0,149853.0
,791,458,25,3.0,1558.0,1000.0,2558.0,0.0,16.0,29251.0
20210709.0,888,571,35,5.0,1168.0,1000.0,2168.0,6.0,10.0,108809.0
,85,165,35,11.0,1612.0,1000.0,2612.0,8.0,16.0,
,634,461,12,4.0,2988.0,,2988.0,7.0,,118032.0
,679,83,28,9.0,2494.0,1000.0,3494.0,15.0,6.0,
,441,57,14,2.0,1196.0,1000.0,2196.0,1.0,14.0,18180.0
20210821.0,40,69,35,1.0,1087.0,1000.0,2087.0,8.0,,123235.0
,625,18,25,5.0,1480.0,1000.0,2480.0,0.0,,87941.0
,112,291,20,3.0,,1000.0,1000.0,11.0,2.0,136152.0
,792,39,29,3.0,1000.0,1000.0,2000.0,0.0,12.0,62505.0
,419,348,22,3.0,2400.0,,2400.0,0.0,5.0,73531.0
,661,222,4,8.0,1025.0,1000.0,2025.0,10.0,14.0,7683.0
,251,385,34,2.0,1748.0,,1748.0,8.0,7.0,121466.0
,836,438,11,6.0,1000.0,1000.0,2000.0,12.0,,87453.0
,273,345,31,9.0,2508.0,1000.0,3508.0,4.0,13.0,
,339,450,31,6.0,2164.0,1000.0,3164.0,1.0,3.0,
,447,153,10,9.0,2237.0,,2237.0,1.0,7.0,36398.0
,891,217,8,10.0,1349.0,1000.0,2349.0,15.0,13.0,16121.0
,319,68,5,9.0,1200.0,1000.0,2200.0,0.0,6.0,52675.0
,184,65,8,7.0,2732.0,1000.0,3732.0,4.0,4.0,114820.0
,543,362,28,4.0,1000.0,1000.0,2000.0,6.0,11.0,145491.0
,588,234,26,12.0,1000.0,1000.0,2000.0,12.0,12.0,105579.0
,248,472,34,10.0,1079.0,,1079.0,9.0,14.0,128303.0
,313,12,11,12.0,2703.0,1000.0,3703.0,13.0,7.0,38546.0
,378,400,33,7.0,2417.0,1000.0,3417.0,10.0,10.0,51800.0
,440,557,8,2.0,1000.0,1000.0,2000.0,5.0,2.0,11611.0
,487,130,24,7.0,1471.0,1000.0,2471.0,1.0,5.0,65962.0
,171,518,3,12.0,2868.0,1000.0,3868.0,5.0,10.0,74529.0
20240604.0,259,276,31,8.0,1000.0,1000.0,2000.0,1.0,11.0,112903.0
,646,445,3,5.0,,1000.0,1000.0,7.0,7.0,19955.0
,297,401,22,6.0,2138.0,,2138.0,1.0,13.0,114167.0
,245,153,26,11.0,1850.0,,1850.0,10.0,2.0,
,795,418,22,5.0,1000.0,1000.0,2000.0,0.0,16.0,10600.0
,55,26,17,1.0,2358.0,,2358.0,7.0,5.0,135186.0
,729,105,9,4.0,1118.0,1000.0,2118.0,15.0,14.0,35774.0
,601,519,22,6.0,1835.0,,1835.0,15.0,2.0,132607.0
,85,476,34,9.0,1165.0,1000.0,2165.0,0.0,,47065.0
,237,55,3,9.0,1362.0,,1362.0,0.0,9.0,127567.0
,110,320,6,6.0,1000.0,,1000.0,7.0,13.0,18711.0
,264,177,14,8.0,1000.0,,1000.0,4.0,12.0,2337.0
,20,131,8,3.0,1000.0,1000.0,2000.0,3.0,6.0,113145.0
20230907.0,261,142,15,3.0,1000.0,,1000.0,9.0,4.0,19517.0
,781,368,1,9.0,2672.0,,2672.0,6.0,11.0,112889.0
,763,54,21,12.0,1000.0,1000.0,2000.0,0.0,7.0,76207.0
,299,152,23,11.0,1210.0,1000.0,2210.0,10.0,7.0,
,104,506,16,2.0,1000.0,1000.0,2000.0,1.0,2.0,79697.0
,55,573,28,2.0,,1000.0,1000.0,6.0,12.0,74740.0
,739,308,5,2.0,2142.0,1000.0,3142.0,13.0,10.0,50042.0
,153,367,18,5.0,1000.0,1000.0,2000.0,4.0,2.0,102935.0
,584,494,16,8.0,2894.0,,2894.0,3.0,7.0,134620.0
,32,11,27,10.0,1384.0,1000.0,2384.0,0.0,9.0,101902.0
,35,395,13,2.0,1744.0,1000.0,2744.0,14.0,10.0,23187.0
,39,198,35,11.0,2276.0,1000.0,3276.0,9.0,15.0,90311.0
,688,357,24,12.0,1350.0,1000.0,2350.0,13.0,12.0,64390.0
,2,392,14,7.0,1000.0,,1000.0,4.0,,54720.0
,741,4,25,4.0,1000.0,1000.0,2000.0,4.0,6.0,59196.0
,472,22,6,10.0,1000.0,1000.0,2000.0,8.0,6.0,89565.0
,190,198,35,4.0,1000.0,1000.0,2000.0,3.0,4.0,89728.0
,552,23,24,12.0,2262.0,1000.0,3262.0,6.0,13.0,61351.0
,200,382,29,9.0,1655.0,,1655.0,7.0,2.0,112411.0
,471,152,25,12.0,1502.0,,1502.0,12.0,9.0,110803.0
,270,91,29,9.0,1561.0,1000.0,2561.0,12.0,15.0,38441.0
,79,410,10,9.0,1709.0,1000.0,2709.0,9.0,12.0,110646.0
,820,397,22,3.0,1512.0,1000.0,2512.0,13.0,7.0,60074.0
,510,59,10,11.0,1346.0,1000.0,2346.0,10.0,5.0,
,166,7,7,4.0,1000.0,1000.0,2000.0,7.0,13.0,17922.0
,638,594,21,9.0,1910.0,1000.0,2910.0,0.0,5.0,
,620,103,20,6.0,1289.0,,1289.0,15.0,14.0,89862.0
,460,118,14,12.0,1585.0,,1585.0,13.0,16.0,20994.0
,190,462,21,6.0,1000.0,,1000.0,14.0,15.0,122831.0
,86,532,31,11.0,1000.0,1000.0,2000.0,3.0,4.0,
,717,343,8,10.0,2039.0,1000.0,3039.0,12.0,7.0,15344.0
,301,377,24,11.0,2628.0,,2628.0,14.0,16.0,113533.0
,874,557,15,6.0,2238.0,1000.0,3238.0,1.0,7.0,
,430,584,31,2.0,1000.0,1000.0,2000.0,4.0,2.0,140640.0
,655,104,35,11.0,1000.0,1000.0,2000.0,10.0,6.0,
